Time KWT WHT KWR DOL WHG WHH WHB SSL PIN BDF BDI BSF BSI SHD SHP DOG POL COD HER ATF HAL FHS REX FFS FFD SKL SKB SKO SBF POP RFS RFP RFD THO DFS DFD SCU OCT SQD SCH SCM SCO SPI SSO HAK CAP SAN FOS EUL TAN KIN CRO PAN PWN EBC BG COR SPG BFF BIV BC BO BD MA EUP ZL ZM ZS JEL GEL PTE PL PS BB PB DC DL DR DIN RelKWT RelWHT RelKWR RelDOL RelWHG RelWHH RelWHB RelSSL RelPIN RelBDF RelBDI RelBSF RelBSI RelSHD RelSHP RelDOG RelPOL RelCOD RelHER RelATF RelHAL RelFHS RelREX RelFFS RelFFD RelSKL RelSKB RelSKO RelSBF RelPOP RelRFS RelRFP RelRFD RelTHO RelDFS RelDFD RelSCU RelOCT RelSQD RelSCH RelSCM RelSCO RelSPI RelSSO RelHAK RelCAP RelSAN RelFOS RelEUL RelTAN RelKIN RelCRO RelPAN RelPWN RelEBC RelBG RelCOR RelSPG RelBFF RelBIV RelBC RelBO RelBD RelMA RelEUP RelZL RelZM RelZS RelJEL RelGEL RelPTE RelPL RelPS RelBB RelPB RelDC RelDL RelDR RelDIN MigWHT MigWHG MigWHH MigPIN MigBDF MigBDI MigBSF MigSHP MigSCH MigSCM MigSCO MigSPI MigSSO MigHAK PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 1385.213094 6783.289161 5328.017265 4328.236033 503486.265163 201587.837385 64212.623766 5773.742287 7438.174990 7355.619399 77.484637 279.766524 341.775358 6151.644831 12177.023115 19417.679281 2365314.933984 793764.920835 306041.075885 1798303.940507 292185.716122 233563.231253 139631.013977 427555.112807 177957.140194 17228.654556 36516.175341 11973.596138 300749.967950 203783.087293 432926.361511 44698.179584 76453.625678 65478.963197 556240.297731 185379.504578 27704.800208 233975.034237 420918.992336 34352.813834 779301.585956 56408.093951 324391.393447 514764.237883 411086.282214 2022076.150381 840225.162572 314970.335136 361710.370315 186556.985468 1808.010072 2084701.971606 3541100.994238 4496707.970486 1702080.003051 390952.982117 1829.557501 34188.001076 129660.996296 4108198.001860 2681629.462548 2521470.833722 2361312.186829 309897.855307 4631431.049996 12640199.109322 12640199.109322 6081420.526595 43736.008508 378156.009413 0.000000 2265784.590130 4445309.014478 4027.170835 817186.712711 5673791.313852 63786.651175 63786.651175 3387321773.235888 1.000000 1.001664 1.000000 1.000000 1.006951 1.006033 1.000000 1.000000 1.000448 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.150523 1.482916 1.432002 1.179855 1.162548 1.409123 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 4525.948599 503486.265163 201587.837385 294.893611 6968.481536 12.795628 50.866641 0.000000 34352.813834 779301.585956 56408.093951 324391.393447 514764.237883 411086.282214 0.000000 0.000000 0.000000 0.000000 -20131.543436 0.000000
3.650000e+02 1370.456305 6286.604314 5020.984868 4073.316587 460115.647507 184143.687867 61205.098261 5392.650422 7167.750376 7852.818402 70.652864 292.696345 336.169488 6204.129395 10172.173313 18832.105665 2464591.894417 1064927.883857 352872.264079 1918948.520862 355083.589540 404164.157704 112499.579461 454443.752377 161766.674056 17332.671650 35299.385174 12869.562428 269193.142417 174237.974312 394523.223809 42657.533091 69655.370852 59532.524302 664967.547971 178392.729707 29623.541586 243319.658160 423309.269384 22325.522690 320301.581541 65235.489956 168169.835127 273261.470599 1680043.723936 1874157.194448 767260.943544 312370.819773 264876.853681 193563.596080 1875.368967 2599550.421241 3383608.617158 4387700.062422 1686739.603156 393499.685150 1829.617312 34208.459215 128890.408431 3453430.557253 2811642.512462 2444362.728511 2395938.573607 328457.825510 4575771.540972 13515657.078082 11119881.687659 4938454.709987 45229.156190 427330.940018 1.329550 78750920.704747 43330775.052317 1964.117918 1594273.629943 0.000000 9133198.296830 5246598.283310 3362147114.667453 0.989347 0.928320 0.942374 0.941103 0.920211 0.918977 0.953163 0.933996 0.964075 1.067594 0.911831 1.046216 0.983598 1.008532 0.835358 0.969843 1.041972 1.341616 1.153023 1.067088 1.215267 1.730427 0.805692 1.062889 0.909020 1.006037 0.966678 1.074829 0.895073 0.855017 0.911294 0.954346 0.911080 0.909186 1.195468 0.962311 1.069257 1.039939 1.005679 0.747712 0.609495 1.656098 0.611656 0.617136 5.758860 0.926848 0.913161 0.991747 0.732290 1.037557 1.037256 1.246965 0.955524 0.975758 0.990987 1.006514 1.000033 1.000598 0.994057 0.840619 1.048483 0.969419 1.014664 1.059891 0.987982 1.069260 0.879724 0.812056 1.034140 1.130039 1.000000 34.756579 9.747528 0.487717 1.950929 0.000000 143.183537 82.252292 0.992568 3257.511255 460115.647507 184143.687867 0.000000 5452.005830 6.377530 29.944084 0.000000 22325.522690 320301.581541 65235.489956 168169.835127 273261.470599 1680043.723936 0.134343 6800021284821992292220928.000000 64.989130 4.464337 -19994.181323 0.067971
7.300000e+02 1411.640898 6101.446583 5093.018328 4097.015030 445150.019437 173644.322756 61998.123444 5418.849688 7244.201587 7481.696780 69.567094 305.918303 352.952858 6607.013614 8590.123759 18659.537575 2727444.799234 1445197.658415 415180.165455 2043050.390367 449234.305924 530259.231012 105149.816354 485459.221509 157084.828611 18758.958620 37243.715066 14415.722333 270012.403792 165057.119113 387574.141010 43960.748077 70342.558430 60105.748569 812081.285433 182058.956854 32282.684191 252807.888892 425862.448895 16860.559680 175513.591267 81486.386088 5905.751361 172097.065337 1680501.643099 1837785.715765 768640.783307 323736.517513 208332.123175 200473.564982 1944.898341 2852100.122295 3226442.970875 4282019.687425 1670906.469610 396184.235574 1829.678912 34228.423330 127914.892490 3013329.863769 2941690.719739 2569540.769173 2585143.825915 336575.575481 4599504.368765 15526473.272832 12024565.546405 4477083.057439 47079.170206 501816.754062 1.588916 89516330.422267 46751755.842656 1535.979775 2080681.708796 0.000000 19789287.203283 9188193.063192 3401215321.266803 1.019079 0.900979 0.955894 0.946578 0.890281 0.866579 0.965513 0.938533 0.974358 1.017140 0.897818 1.093477 1.032704 1.074024 0.705437 0.960956 1.153100 1.820687 1.356616 1.136098 1.537496 2.270303 0.753055 1.135431 0.882712 1.088823 1.019924 1.203959 0.897797 0.809965 0.895243 0.983502 0.920068 0.917940 1.459947 0.982088 1.165238 1.080491 1.011744 0.564683 0.333981 2.068651 0.021480 0.388666 5.760429 0.908861 0.914803 1.027832 0.575964 1.074597 1.075712 1.368109 0.911141 0.952257 0.981685 1.013381 1.000066 1.001182 0.986533 0.733492 1.096979 1.019064 1.094791 1.086086 0.993107 1.228341 0.951296 0.736190 1.076440 1.327010 1.000000 39.507873 10.517099 0.381404 2.546152 0.000000 310.241827 144.045704 1.004102 3161.086523 445150.019437 173644.322756 0.000000 5249.713545 6.265318 31.558109 0.000000 16860.559680 175513.591267 81486.386088 5905.751361 172097.065337 1680501.643099 0.124735 7046855512269940779384832.000000 64.989130 4.683795 -20748.711897 0.055382
1.095000e+03 1448.426697 5935.066820 5206.797272 4127.116663 432505.777966 164799.976923 63052.485306 5505.445817 7382.246418 7106.284684 68.891464 311.485044 369.212670 7008.318452 7808.710742 18618.339416 2941005.019373 1825006.681004 465979.655837 2128540.837191 554675.242911 622788.747697 98723.137445 513202.725335 153669.146863 20465.067676 39920.146855 15968.746378 271441.111292 159029.704662 384253.384541 45276.945421 71165.083276 60724.842652 964704.093417 186127.299626 34536.346175 262432.875697 428433.099127 15047.839885 392107.860763 119566.559624 52441.958978 146240.844076 1705535.169424 1802289.992850 780728.239389 307524.512591 164357.126569 207314.187954 2016.585349 2924522.707585 3069720.715228 4172116.823771 1655080.163303 399099.254175 1829.746971 34251.160482 126897.155132 2740038.135150 3084934.305340 2896042.874645 2845821.210186 350301.782315 4638333.785864 17584302.480311 12689426.501709 4057570.980113 49132.576232 557791.265858 1.762937 93394592.577601 49582380.811322 1565.026995 2377288.549983 0.000000 31901590.635727 12816907.996183 3431685578.804506 1.045635 0.876410 0.977249 0.953533 0.864993 0.822441 0.981933 0.953532 0.992926 0.966103 0.889098 1.113375 1.080279 1.139259 0.641266 0.958834 1.243388 2.299178 1.522605 1.183638 1.898365 2.666467 0.707029 1.200319 0.863518 1.187851 1.093218 1.333663 0.902547 0.780387 0.887572 1.012948 0.930827 0.927395 1.734330 1.004034 1.246583 1.121628 1.017852 0.503973 0.746133 3.035372 0.190738 0.330272 5.846239 0.891307 0.929189 0.976360 0.454389 1.111265 1.115362 1.402849 0.866883 0.927816 0.972387 1.020837 1.000104 1.001847 0.978684 0.666968 1.150395 1.148553 1.205186 1.130378 1.001490 1.391141 1.003895 0.667208 1.123390 1.475029 1.000000 41.219537 11.153866 0.388617 2.909113 0.000000 500.129573 200.934016 1.013097 3073.750787 432505.777966 164799.976923 0.000000 5033.820915 6.197919 32.197207 0.000000 15047.839885 392107.860763 119566.559624 52441.958978 146240.844076 1705535.169424 0.114337 6693419422992813818642432.000000 64.989130 5.125264 -19700.571801 0.048084
1.460000e+03 1481.000812 5788.141773 5345.962355 4154.805550 421875.195774 157006.448124 64279.907826 5619.052809 7543.271934 6732.349899 67.883431 313.755832 384.892969 7404.885776 7618.238264 18652.680245 3035457.879678 2113371.278500 502195.620922 2170258.013085 662886.266465 689427.611189 93839.600416 537325.043060 150967.145920 22228.221240 42720.527135 17385.463232 271531.510111 155225.733550 382891.245454 46459.698542 72025.048134 61400.473624 1108066.629300 190433.704358 36321.862450 272208.947371 431108.793707 20450.337103 541869.875212 118300.165960 945.235565 201505.314325 1628305.194000 1742498.912065 774703.057304 280007.649558 140525.302285 214136.789993 2090.545933 2938653.779904 2915827.520014 4062830.710990 1639700.321946 402287.777535 1829.823094 34277.383245 125841.938963 2596288.942368 3247948.835390 3457221.697568 3157479.369992 366125.443132 4692593.533376 19255831.653454 13015387.363488 3702914.304005 51306.890856 586449.652819 1.898607 93012440.550149 53920476.140372 1828.013685 2550839.688183 0.000000 44180817.293857 16408551.490915 3456338783.204288 1.069150 0.854714 1.003368 0.959930 0.843732 0.783547 1.001048 0.973208 1.014584 0.915266 0.876089 1.121492 1.126158 1.203725 0.625624 0.960603 1.283321 2.662465 1.640942 1.206836 2.268716 2.951781 0.672054 1.256739 0.848334 1.290189 1.169907 1.451983 0.902848 0.761720 0.884426 1.039409 0.942075 0.937713 1.992065 1.027264 1.311031 1.163410 1.024208 0.684910 1.031112 3.003223 0.003438 0.455081 5.581510 0.861738 0.922018 0.888997 0.388502 1.147836 1.156269 1.409628 0.823424 0.903512 0.963351 1.028993 1.000145 1.002614 0.970546 0.631978 1.211185 1.371113 1.337172 1.181439 1.013206 1.523380 1.029682 0.608890 1.173104 1.550814 1.000000 41.050875 12.129748 0.453920 3.121489 0.000000 692.634219 257.241150 1.020375 2996.682364 421875.195774 157006.448124 0.000000 4810.969428 6.103941 32.437347 0.000000 20450.337103 541869.875212 118300.165960 945.235565 201505.314325 1628305.194000 0.104845 6094001135339098123272192.000000 64.956522 5.749446 -17912.699460 0.044844
1.825000e+03 1510.108579 5660.499774 5494.327619 4180.943227 413265.148644 149759.856368 65595.066614 5733.971055 7697.033566 6370.573173 66.348467 314.958341 399.844815 7792.207544 8028.563087 18743.117052 2999854.140162 2295098.996800 529987.386643 2188751.737701 769051.586446 736626.396781 89986.815404 558063.474944 148843.744818 23978.126437 45230.874508 18636.774795 270565.606417 153032.493304 382956.309308 47549.254330 72953.357283 62165.673349 1230830.831237 194878.376172 37808.818945 282170.245609 433942.527197 22932.946924 357211.936852 125303.283008 83622.715315 226934.948937 1465498.511141 1714813.023675 754309.321926 257409.545773 139820.807842 221000.080781 2167.010229 2957676.654244 2766477.633668 3956974.433420 1625041.004255 405774.153842 1829.907741 34306.802131 124752.951387 2564677.337148 3432839.123850 4332406.747936 3510641.179643 388103.297508 4762293.562668 20339790.316309 13120108.822350 3478889.345231 53533.560141 652119.482180 2.039016 89734100.124575 60618915.750528 2240.030801 2659495.209204 0.000000 55584764.751359 20013037.243091 3477675163.849120 1.090163 0.835866 1.031214 0.965969 0.826512 0.747383 1.021529 0.993112 1.035265 0.866082 0.856279 1.125790 1.169905 1.266687 0.659321 0.965260 1.268268 2.891409 1.731752 1.217120 2.632064 3.153863 0.644462 1.305243 0.836402 1.391759 1.238653 1.556489 0.899636 0.750958 0.884576 1.063785 0.954217 0.949399 2.212768 1.051240 1.364703 1.205984 1.030941 0.768056 0.679731 3.181007 0.304147 0.512512 5.023441 0.848046 0.897747 0.817250 0.386555 1.184625 1.198561 1.418753 0.781248 0.879971 0.954738 1.037910 1.000191 1.003475 0.962147 0.624283 1.280132 1.718206 1.486733 1.252359 1.028255 1.609135 1.037967 0.572052 1.224016 1.724472 1.000000 39.603986 13.636603 0.556229 3.254452 0.000000 871.416883 313.749615 1.026674 2929.485661 413265.148644 149759.856368 0.000000 4590.356732 5.962789 32.547733 0.000000 22932.946924 357211.936852 125303.283008 83622.715315 226934.948937 1465498.511141 0.099278 5601756281438563475652608.000000 64.956522 6.558094 -16444.873075 0.044489
2.190000e+03 1536.437946 5548.587666 5642.409071 4212.370531 406711.842430 142986.164963 66934.716584 5841.362529 7828.305087 6031.526530 64.582142 316.264952 414.194619 8170.697147 8305.873093 18891.734342 2999026.343733 2416577.474895 552973.282652 2201206.366678 870765.186595 769855.143817 87080.460934 575659.854688 147239.413568 25708.268614 47600.297125 19749.471605 269489.995501 152009.798546 384143.214643 48668.971821 74001.106006 63052.353411 1324162.583288 199435.323111 39197.786242 292375.842559 436935.461840 19893.796055 81649.914885 154508.258574 1125.194691 193073.247609 1256946.657968 1766573.111873 760747.519631 249547.194043 153825.125326 227963.018236 2246.263115 3009048.995772 2623775.873730 3854862.655356 1611259.260798 409568.512881 1830.000068 34339.165879 123633.451468 2612808.618193 3638520.750053 5645754.495324 3897141.583575 414422.405649 4837464.953954 20861498.605600 13108147.953446 3411808.172636 55775.936557 768897.912311 2.196794 85673582.261636 68105992.398795 2697.455272 2734216.391624 0.000000 65206318.913571 23519457.010514 3497251976.299209 1.109171 0.819340 1.059007 0.973230 0.813406 0.713578 1.042392 1.011712 1.052921 0.819989 0.833483 1.130460 1.211891 1.328213 0.682094 0.972914 1.267918 3.044450 1.806860 1.224046 2.980177 3.296132 0.623647 1.346399 0.827387 1.492181 1.303540 1.649419 0.896060 0.745939 0.887318 1.088836 0.967921 0.962941 2.380559 1.075822 1.414837 1.249603 1.038051 0.666270 0.155370 3.922418 0.004092 0.436038 4.308566 0.873643 0.905409 0.792288 0.425272 1.221948 1.242395 1.443395 0.740949 0.857263 0.946641 1.047616 1.000242 1.004422 0.953513 0.635999 1.356832 2.239072 1.650414 1.337287 1.044486 1.650409 1.037021 0.561022 1.275286 2.033282 1.000000 37.811883 15.320868 0.669814 3.345889 0.000000 1022.256502 368.720674 1.032453 2870.427090 406711.842430 142986.164963 0.000000 4381.367569 5.802093 32.654662 0.000000 19893.796055 81649.914885 154508.258574 1125.194691 193073.247609 1256946.657968 0.098148 5430412599110811110080512.000000 64.956522 7.581543 -15938.595106 0.045885
2.555000e+03 1560.571589 5447.660127 5788.285958 4241.360451 402133.035205 136489.963981 68255.537633 5942.361132 7941.771168 5713.844318 62.441300 317.541341 427.910662 8541.470883 9127.751112 19097.494544 3054252.433333 2510163.411388 570101.774711 2207979.958942 965813.223465 791817.203978 85274.449535 590429.370104 146106.842550 27367.036089 50022.987500 20736.482829 268830.899308 151789.906334 386152.641193 49818.398404 75158.297133 64056.352382 1391481.423966 204100.790011 40563.236472 302868.177661 440063.182830 14702.434543 232892.014440 141958.663722 139680.741222 136618.525851 1039048.015479 1790621.028217 750635.334220 257678.424063 164901.582674 235071.505363 2328.557625 3069852.229307 2488298.681112 3756506.768707 1598329.510515 413659.546539 1830.098951 34374.151340 122485.947655 2715689.216421 3864876.403921 7590877.663273 4305249.830261 442738.858010 4911129.105736 20967489.005772 13082615.394053 3513650.792146 58027.563699 879106.303570 2.357723 81507231.746845 76259868.782369 3070.067147 2796811.330224 0.000000 72238564.437248 26833358.810825 3516642007.210774 1.126593 0.804436 1.086386 0.979928 0.804249 0.681159 1.062961 1.029204 1.068183 0.776800 0.805854 1.135023 1.252023 1.388486 0.749588 0.983511 1.291267 3.162351 1.862828 1.227812 3.305477 3.390162 0.610713 1.380943 0.821023 1.588460 1.369886 1.731851 0.893868 0.744860 0.891959 1.114551 0.983057 0.978274 2.501583 1.100989 1.464123 1.294447 1.045482 0.492405 0.443165 3.603828 0.508038 0.308541 3.561652 0.885536 0.893374 0.818104 0.455894 1.260052 1.287912 1.472562 0.702691 0.835390 0.939045 1.058080 1.000296 1.005445 0.944663 0.661041 1.441242 3.010496 1.823245 1.428661 1.060391 1.658794 1.035001 0.577768 1.326769 2.324719 1.000000 35.973072 17.155133 0.762338 3.422488 0.000000 1132.502853 420.673579 1.038178 2817.618359 402133.035205 136489.963981 0.000000 4183.460867 5.608644 32.765198 0.000000 14702.434543 232892.014440 141958.663722 139680.741222 136618.525851 1039048.015479 0.098023 5607312329179219198214144.000000 64.945652 8.905195 -16476.340088 0.048454
2.920000e+03 1582.969665 5354.212139 5930.396347 4263.079108 399366.432296 130276.846531 69531.124309 6034.739104 8034.931828 5417.713518 60.467515 318.732294 441.026360 8904.555248 9879.367719 19361.932057 3136012.834717 2579730.979409 582088.085436 2210494.565990 1053013.079323 805408.384822 84382.449495 602993.890564 145402.327236 28909.562984 52194.399285 21622.061029 268899.149419 152103.195452 388835.109893 51026.686306 76450.057968 65180.604253 1438686.912898 208884.948705 41947.347829 313681.766336 443283.800048 14549.998019 483353.325498 147767.401446 1852.571113 135703.795859 835407.356423 1800366.121373 752939.968600 286214.014006 174618.451380 242362.984802 2414.120762 3148237.957102 2360259.103901 3661811.988376 1586081.453195 418022.258618 1830.202826 34411.121437 121311.697359 2860524.456128 4110743.208198 10433303.990544 4723337.933491 472555.429772 4979931.346939 20773614.781726 13044017.546560 3817816.893343 60266.492782 928180.005216 2.510050 76243085.635731 85940069.421631 3173.966561 2856349.270935 0.000000 75865898.678698 29685539.886211 3536673993.241759 1.142763 0.790637 1.113059 0.984946 0.798715 0.650152 1.082826 1.045204 1.080713 0.736541 0.780381 1.139280 1.290398 1.447508 0.811312 0.997129 1.325833 3.249994 1.901993 1.229211 3.603917 3.448353 0.604325 1.410330 0.817064 1.677993 1.429350 1.805812 0.894095 0.746398 0.898155 1.141583 0.999953 0.995443 2.586449 1.126796 1.514082 1.340663 1.053133 0.487299 0.919762 3.751291 0.006738 0.306475 2.863612 0.890355 0.896117 0.908701 0.482758 1.299136 1.335236 1.510162 0.666533 0.814332 0.931849 1.069239 1.000353 1.006526 0.935607 0.696297 1.532927 4.137785 2.000302 1.524875 1.075247 1.643456 1.031947 0.627784 1.377961 2.454490 1.000000 33.649750 19.332755 0.788138 3.495345 0.000000 1189.369520 465.387967 1.044092 2769.357655 399366.432296 130276.846531 0.000000 3997.090266 5.430907 32.870815 0.000000 14549.998019 483353.325498 147767.401446 1852.571113 135703.795859 835407.356423 0.099610 6228447796443578093273088.000000 64.945652 10.636644 -18346.459965 0.052087
3.285000e+03 1603.692924 5265.570044 6068.309953 4275.235496 398179.091631 124295.369718 70744.402711 6116.017017 8109.851191 5142.875160 58.916026 319.820983 453.604006 9259.950084 11297.419867 19682.876750 3215289.855625 2621192.959531 592907.230318 2207561.823370 1132049.749421 813150.351761 84344.857965 614119.173503 145081.225876 30299.398230 54216.892634 22423.730789 269800.761674 152767.029366 392037.600139 52293.999855 77873.025662 66416.254226 1473931.266728 213783.219093 43355.271612 324845.559610 446552.565950 19675.351108 433828.152528 167367.803610 173405.462361 190312.186253 702852.593388 1801082.519086 756059.651828 315697.298821 184798.900064 249867.562687 2503.154568 3234218.041224 2239812.718558 3570722.906430 1574235.574679 422617.441094 1830.310254 34449.285001 120111.445981 3032909.885779 4374457.585215 14487692.448700 5139973.697532 503601.655575 5043342.328720 20405230.036401 13021115.225278 4384063.151666 62480.881718 990970.988341 2.671100 71378112.395991 95631095.691753 2709.815379 2919700.642854 0.000000 75352288.849765 31750495.645981 3558327190.569706 1.157723 0.777548 1.138943 0.987755 0.796341 0.620301 1.101721 1.059281 1.090790 0.699176 0.760358 1.143171 1.327199 1.505280 0.927765 1.013658 1.359350 3.302228 1.937345 1.227580 3.874419 3.481500 0.604055 1.436351 0.815259 1.758663 1.484736 1.872765 0.897093 0.749655 0.905553 1.169936 1.018566 1.014314 2.649810 1.153219 1.564901 1.388377 1.060899 0.658954 0.825522 4.248876 0.630699 0.429803 2.409241 0.890710 0.899830 1.002308 0.510903 1.339363 1.384480 1.551405 0.632519 0.794075 0.924889 1.080993 1.000411 1.007643 0.926350 0.738258 1.631268 5.745731 2.176745 1.625057 1.088938 1.614312 1.030135 0.720895 1.428591 2.620535 1.000000 31.502603 21.512812 0.672883 3.572868 0.000000 1181.317524 497.760818 1.050484 2724.193511 398179.091631 124295.369718 0.000000 3822.500179 5.291172 32.969251 0.000000 19675.351108 433828.152528 167367.803610 173405.462361 190312.186253 702852.593388 0.101365 6870213023664521940566016.000000 64.923913 12.973179 -20278.171693 0.056560
