Time KWT WHT KWR DOL WHG WHH WHB SSL PIN BDF BDI BSF BSI SHD SHP DOG POL COD HER ATF HAL FHS REX FFS FFD SKL SKB SKO SBF POP RFS RFP RFD THO DFS DFD SCU OCT SQD SCH SCM SCO SPI SSO HAK CAP SAN FOS EUL TAN KIN CRO PAN PWN EBC BG COR SPG BFF BIV TsActKWT TsActWHT TsActKWR TsActDOL TsActWHG TsActWHH TsActWHB TsActSSL TsActPIN TsActBDF TsActBDI TsActBSF TsActBSI TsActSHD TsActSHP TsActDOG TsActPOL TsActCOD TsActHER TsActATF TsActHAL TsActFHS TsActREX TsActFFS TsActFFD TsActSKL TsActSKB TsActSKO TsActSBF TsActPOP TsActRFS TsActRFP TsActRFD TsActTHO TsActDFS TsActDFD TsActSCU TsActOCT TsActSQD TsActSCH TsActSCM TsActSCO TsActSPI TsActSSO TsActHAK TsActCAP TsActSAN TsActFOS TsActEUL TsActTAN TsActKIN TsActCRO TsActPAN TsActPWN TsActEBC TsActBG TsActCOR TsActSPG TsActBFF TsActBIV
0.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.650000e+02 4.435413 34.222659 17.177815 17.581175 2247.778895 2167.354296 327.116787 26.119760 75.642306 38.401152 0.707953 1.710775 0.932577 24.506242 318.514117 20.342539 141954.098621 58915.496552 17547.494853 82270.437555 9964.193349 10282.268044 8688.714488 17549.758023 4527.624676 286.612108 821.782346 202.417512 6650.782007 5558.108062 5754.988273 1040.804183 1028.269415 470.026730 11620.666233 2181.652702 884.911023 62.022223 40.618195 1062.080499 21055.586279 1026.903115 50619.997289 13411.600654 15711.667127 192387.337683 83517.279456 14004.601046 7474.635285 94.740750 0.000000 0.001858 0.001595 0.000000 0.000161 0.007538 0.000000 0.000000 0.000000 0.008014 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
7.300000e+02 4.420770 34.111278 16.345612 17.628314 2010.920483 2044.384851 317.475003 26.092657 78.247078 36.251023 0.702413 1.697662 0.912889 25.683985 267.597650 20.436532 151740.179511 79342.284803 21879.850229 88211.067205 11091.386803 16852.586475 7317.392271 19233.774030 4377.743428 286.792310 826.332973 218.875595 6524.626800 5080.228691 5504.162247 1047.957192 985.554410 460.153997 13329.076651 2028.490936 1009.224726 64.471014 40.851191 152.240919 10801.529698 940.546164 20303.659314 1914.355280 12573.491040 229039.814352 78361.143113 20372.722558 9473.530147 98.211000 0.000000 0.002164 0.001522 0.000000 0.000160 0.007588 0.000000 0.000000 0.000000 0.006840 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.095000e+03 4.588637 33.172215 16.751200 18.248990 1937.694766 1936.167529 325.039714 26.829598 81.226284 34.055587 0.696711 1.650599 0.923964 26.854297 232.959075 22.511970 166599.954925 110042.225476 26644.304012 93110.819482 13207.909922 22319.147089 6923.197758 20898.183254 4290.557342 297.951619 865.433045 242.796460 6534.496823 4818.178861 5444.296817 1081.552612 995.301887 464.226778 15979.243726 2046.379562 1132.325743 66.955608 41.102062 271.789725 4733.809022 1229.111722 1078.956425 2711.084437 33368.462893 222273.883816 75763.542621 25451.105135 9154.370074 101.637236 0.000000 0.002287 0.001450 0.000000 0.000158 0.007642 0.000000 0.000000 0.000000 0.006085 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.460000e+03 4.747924 32.303162 17.237614 18.818645 1869.216669 1839.537036 333.262734 27.572815 84.002094 31.684227 0.677483 1.642470 0.935600 28.018793 206.671312 24.882038 184675.367312 151032.049056 30577.986705 96244.935860 15937.205417 26776.163219 6641.317735 22389.870898 4221.049955 314.228629 920.611607 267.961859 6543.700719 4630.197733 5411.980531 1112.499600 1005.907921 468.898304 19096.540946 2071.728283 1234.480185 69.477258 41.356705 111.559068 1992.295046 2299.395473 5868.362312 1339.126453 50331.459321 202689.986824 75288.090135 26453.944588 7107.497218 105.041171 0.000000 0.002315 0.001379 0.000000 0.000157 0.007700 0.000000 0.000000 0.000000 0.005645 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.825000e+03 4.897230 31.517193 17.753563 19.272300 1806.744926 1751.354087 341.717509 28.251315 86.379821 29.429687 0.659676 1.650653 0.949171 29.162567 188.232901 27.506703 189106.065397 186373.183389 32802.161241 97786.400114 19203.815826 30291.460975 6394.443133 23730.802191 4164.556769 333.975196 1007.784157 293.403636 6522.860320 4501.612902 5396.441132 1139.648771 1017.075545 474.236608 22487.167971 2102.546910 1316.403689 72.042085 41.622031 69.041749 6761.951900 1728.330479 154.505138 609.322823 57857.321227 190978.218429 72507.705123 24149.980802 5323.208049 108.450474 0.000000 0.002326 0.001309 0.000000 0.000156 0.007764 0.000000 0.000000 0.000000 0.005442 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.190000e+03 5.037070 30.806966 18.278465 19.625783 1751.829770 1669.589413 350.106083 28.840665 88.279520 27.391741 0.652310 1.664243 0.965980 30.282212 175.549747 30.423151 184703.005141 200730.825766 34149.236611 98549.951872 22869.408220 32908.982759 6174.636902 24903.276728 4119.834766 356.974764 1077.197226 318.856854 6484.307362 4420.306701 5395.392793 1165.049593 1029.452977 480.420243 25919.834246 2137.746076 1385.138929 74.662061 41.901857 142.017281 16498.812697 2091.059689 9297.290600 1254.673366 57458.927757 194640.709239 73041.651976 20884.592248 5449.857853 111.894564 0.000000 0.002355 0.001241 0.000000 0.000154 0.007834 0.000000 0.000000 0.000000 0.005462 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.555000e+03 5.168048 30.144063 18.806807 19.898017 1705.349836 1592.196670 358.250303 29.360593 89.793181 25.564370 0.643961 1.679588 0.986730 31.382087 178.980939 33.683327 184049.650449 204109.257779 35468.249101 98863.034230 26737.560387 34739.946842 5999.034844 25879.239029 4086.139034 382.999882 1134.175074 343.821784 6446.020341 4375.256154 5407.221147 1190.577687 1043.521599 487.559388 29067.419052 2176.432690 1447.261884 77.351647 42.195383 174.104014 6376.342473 2844.128241 53.508723 1751.614204 52230.496289 200047.218372 71540.634726 19517.594523 6187.975168 115.400247 0.000000 0.002398 0.001177 0.000000 0.000153 0.007910 0.000000 0.000000 0.000000 0.005625 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.920000e+03 5.290774 29.511001 19.333603 20.083962 1667.548283 1518.710649 366.025988 29.824872 91.003443 23.910278 0.634676 1.694828 1.011235 32.464037 193.442688 37.339784 186394.268994 203232.560756 36533.935613 98778.768795 30578.114154 35932.791413 5880.290419 26665.394897 4062.751629 410.933122 1181.227778 367.258191 6418.646911 4356.460767 5430.113982 1216.748082 1059.223223 495.620915 31680.057479 2217.723444 1505.985634 80.120210 42.499987 208.693032 703.105151 2128.718928 15544.315881 2030.155215 44807.202913 201465.143455 71665.840044 20485.597552 6704.275660 118.987927 0.000000 0.002452 0.001117 0.000000 0.000152 0.007991 0.000000 0.000000 0.000000 0.005880 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.285000e+03 5.405864 28.891790 19.856281 20.192520 1638.228012 1448.415112 373.349159 30.234413 91.951491 22.407454 0.628910 1.709762 1.039010 33.529786 221.449242 41.450174 190743.625865 200624.962765 37325.608030 98337.967030 34205.067908 36645.108359 5815.124890 27297.930137 4048.887884 439.241136 1220.967092 388.329673 6409.297740 4355.971832 5462.578736 1244.147829 1076.780815 504.584705 33679.490938 2260.867023 1563.311020 82.976144 42.811524 92.744823 1561.086238 2565.448325 61.957825 1017.950354 36814.035005 201659.389582 72339.331739 23194.230769 7002.857729 122.674541 0.000000 0.002516 0.001059 0.000000 0.000151 0.008077 0.000000 0.000000 0.000000 0.006214 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
