"idx","species","mfc","f","fidx"
1,"ATF",0,0,1
2,"ATF",0.000308241524912489,0.1125255,2
3,"ATF",0.00061638803698727,0.225051,3
4,"ATF",0.000924439565511359,0.3375765,4
5,"ATF",0.00123239613976245,0.450102,5
6,"ATF",0.00154025778900957,0.5626275,6
7,"ATF",0.00184802454251243,0.675153,7
8,"ATF",0.00215569642952185,0.7876785,8
9,"ATF",0.00246327347927966,0.900204,9
10,"COD",0,0,1
11,"COD",0.000698386151773978,0.255,2
12,"COD",0.00139628456033092,0.51,3
13,"COD",0.0020936955663039,0.765,4
14,"COD",0.0027906195100883,1.02,5
15,"COD",0.00348705673184158,1.275,6
16,"COD",0.00418300757148349,1.53,7
17,"COD",0.00487847236869676,1.785,8
18,"COD",0.00557345146292654,2.04,9
19,"FFD",0,0,1
20,"FFD",0.000152018580990676,0.055491,2
21,"FFD",0.00030401405233238,0.110982,3
22,"FFD",0.00045598641753819,0.166473,4
23,"FFD",0.00060793568012063,0.221964,5
24,"FFD",0.000759861843591891,0.277455,6
25,"FFD",0.000911764911463275,0.332946,7
26,"FFD",0.00106364488724597,0.388437,8
27,"FFD",0.00121550177445018,0.443928,9
28,"FFS",0,0,1
29,"FFS",0.000361958792173378,0.132138875,2
30,"FFS",0.000723786570179463,0.26427775,3
31,"FFS",0.0010854833814401,0.396416625,4
32,"FFS",0.0014470492733597,0.5285555,5
33,"FFS",0.00180848429332592,0.660694375,6
34,"FFS",0.00216978848870875,0.79283325,7
35,"FFS",0.00253096190686142,0.924972125,8
36,"FFS",0.00289200459511996,1.057111,9
37,"FHS",0,0,1
38,"FHS",0.000487186765421033,0.1778665,2
39,"FHS",0.000974136179897611,0.355733,3
40,"FHS",0.00146084835906413,0.5335995,4
41,"FHS",0.00194732341849824,0.711466,5
42,"FHS",0.00243356147372187,0.8893325,6
43,"FHS",0.00291956264019999,1.067199,7
44,"FHS",0.00340532703334184,1.2450655,8
45,"FHS",0.00389085476850037,1.422932,9
46,"POL",0,0,1
47,"POL",0.00042632964362499,0.1556435,2
48,"POL",0.000852477530284945,0.311287,3
49,"POL",0.00127844373746822,0.4669305,4
50,"POL",0.00170422834263018,0.622574,5
51,"POL",0.00212983142319312,0.7782175,6
52,"POL",0.00255525305654647,0.933861,7
53,"POL",0.00298049332004646,1.0895045,8
54,"POL",0.00340555229101647,1.245148,9
55,"POP",0,0,1
56,"POP",0.000164991866796638,0.060227,2
57,"POP",0.000329956511277207,0.120454,3
58,"POP",0.000494893937933116,0.180681,4
59,"POP",0.000659804151255106,0.240908,5
60,"POP",0.000824687155733139,0.301135,6
61,"POP",0.000989542955856404,0.361362,7
62,"POP",0.00115437155611353,0.421589,8
63,"POP",0.00131917296099215,0.481816,9
64,"REX",0,0,1
65,"REX",0.000406866522427163,0.1485365,2
66,"REX",0.000813567504487245,0.297073,3
67,"REX",0.00122010301353315,0.4456095,4
68,"REX",0.00162647311689013,0.594146,5
69,"REX",0.00203267788185646,0.7426825,6
70,"REX",0.00243871737570256,0.891219,7
71,"REX",0.00284459166567186,1.0397555,8
72,"REX",0.00325030081898026,1.188292,9
73,"RFP",0,0,1
74,"RFP",0.000156661699876826,0.057186,2
75,"RFP",0.000313298856865485,0.114372,3
76,"RFP",0.000469911474810791,0.171558,4
77,"RFP",0.000626499557557225,0.228744,5
78,"RFP",0.000783063108948379,0.28593,6
79,"RFP",0.000939602132827511,0.343116,7
80,"RFP",0.00109611663303699,0.400302,8
81,"RFP",0.00125260661341886,0.457488,9
82,"RFS",0,0,1
83,"RFS",8.16663911461513e-05,0.02980945,2
84,"RFS",0.000163326112892825,0.0596189,3
85,"RFS",0.000244979165784698,0.08942835,4
86,"RFS",0.000326625550366444,0.1192378,5
87,"RFS",0.000408265267182517,0.14904725,6
88,"RFS",0.000489898316777704,0.1788567,7
89,"RFS",0.000571524699696235,0.20866615,8
90,"RFS",0.000653144416482676,0.2384756,9
91,"SBF",0,0,1
92,"SBF",0.000129090845141899,0.0471212,2
93,"SBF",0.000258165025837531,0.0942424,3
94,"SBF",0.000387222544238064,0.1413636,4
95,"SBF",0.000516263402494443,0.1884848,5
96,"SBF",0.000645287602757394,0.235606,6
97,"SBF",0.000774295147177306,0.2827272,7
98,"SBF",0.000903286037904238,0.3298484,8
99,"SBF",0.00103226027708814,0.3769696,9
100,"HAL",0,0,1
101,"HAL",0.000273935075673415,0.1,2
102,"HAL",0.000547795110921179,0.2,3
103,"HAL",0.000821580126299404,0.3,4
104,"HAL",0.00109529014235876,0.4,5
105,"HAL",0.00136892517964404,0.5,6
106,"HAL",0.00164248525869481,0.6,7
107,"HAL",0.00191597040004454,0.7,8
108,"HAL",0.00218938062422147,0.8,9
