"idx","species","base_mfc","mult_mfc","base_f","mult_f","mult_idx","fofl_mult"
1,"POL",0.0002150062,0,0.0784857007585331,0,1,0
2,"POL",0.0002150062,0.00017200496,0.0784857007585331,0.0627872104106312,2,0.2
3,"POL",0.0002150062,0.00034400992,0.0784857007585331,0.125585223320056,3,0.4
4,"POL",0.0002150062,0.00051601488,0.0784857007585331,0.188394042445999,4,0.6
5,"POL",0.0002150062,0.00068801984,0.0784857007585331,0.251213671508227,5,0.8
6,"POL",0.0002150062,0.0008600248,0.0784857007585331,0.314044114228305,6,1
7,"POL",0.0002150062,0.00103202976,0.0784857007585331,0.37688537432976,7,1.2
8,"POL",0.0002150062,0.00120403472,0.0784857007585331,0.439737455538005,8,1.4
9,"POL",0.0002150062,0.00137603968,0.0784857007585331,0.502600361580497,9,1.6
10,"POL",0.0002150062,0.0017200496,0.0784857007585331,0.628358663087239,10,2
11,"POL",0.0002150062,0.002150062,0.0784857007585331,0.785617496132143,11,2.5
12,"POL",0.0002150062,0.0025800744,0.0784857007585331,0.942944112740108,12,3
13,"POL",0.0002150062,0.0034400992,0.0784857007585331,1.25780093055671,13,4
14,"COD",0.000298534,0,0.108981178103029,0,1,0
15,"COD",0.000298534,0.0002388272,0.108981178103029,0.0871823391714266,2,0.2
16,"COD",0.000298534,0.0004776544,0.108981178103029,0.174385507318794,3,0.4
17,"COD",0.000298534,0.0007164816,0.108981178103029,0.261609514397098,4,0.6
18,"COD",0.000298534,0.0009553088,0.108981178103029,0.348854370368474,5,0.8
19,"COD",0.000298534,0.001194136,0.108981178103029,0.43612008520216,6,1
20,"COD",0.000298534,0.0014329632,0.108981178103029,0.52340666887467,7,1.2
21,"COD",0.000298534,0.0016717904,0.108981178103029,0.610714131369554,8,1.4
22,"COD",0.000298534,0.0019106176,0.108981178103029,0.698042482677569,9,1.6
23,"COD",0.000298534,0.002388272,0.108981178103029,0.872761891731893,10,2
24,"COD",0.000298534,0.00298534,0.108981178103029,1.09127883086411,11,2.5
25,"COD",0.000298534,0.003582408,0.108981178103029,1.30992666933291,12,3
26,"COD",0.000298534,0.004776544,0.108981178103029,1.74761567224498,13,4
27,"SBF",7.526539e-05,0,0.0274729012422914,0,1,0
28,"SBF",7.526539e-05,6.0212312e-05,0.0274729012422914,0.0219781555644353,2,0.2
29,"SBF",7.526539e-05,0.000120424624,0.0274729012422914,0.0439576346039252,3,0.4
30,"SBF",7.526539e-05,0.000180636936,0.0274729012422914,0.0659384372779536,4,0.6
31,"SBF",7.526539e-05,0.000240849248,0.0274729012422914,0.0879205637459119,5,0.8
32,"SBF",7.526539e-05,0.00030106156,0.0274729012422914,0.10990401416722,6,1
33,"SBF",7.526539e-05,0.000361273872,0.0274729012422914,0.131888788701449,7,1.2
34,"SBF",7.526539e-05,0.000421486184,0.0274729012422914,0.153874887508035,8,1.4
35,"SBF",7.526539e-05,0.000481698496,0.0274729012422914,0.175862310746607,9,1.6
36,"SBF",7.526539e-05,0.00060212312,0.0274729012422914,0.219841131157877,10,2
37,"SBF",7.526539e-05,0.0007526539,0.0274729012422914,0.274822109444745,11,2.5
38,"SBF",7.526539e-05,0.00090318468,0.0274729012422914,0.329811370918961,12,3
39,"SBF",7.526539e-05,0.00120424624,0.0274729012422914,0.439814753415535,13,4
40,"FFS",0.0001690849,0,0.0617212067090956,0,1,0
41,"FFS",0.0001690849,0.00013526792,0.0617212067090956,0.0493761303785053,2,0.2
42,"FFS",0.0001690849,0.00027053584,0.0617212067090956,0.0987589411189834,3,0.4
43,"FFS",0.0001690849,0.00040580376,0.0617212067090956,0.148148434029242,4,0.6
44,"FFS",0.0001690849,0.00054107168,0.0617212067090956,0.197544610917944,5,0.8
45,"FFS",0.0001690849,0.0006763396,0.0617212067090956,0.246947473594488,6,1
46,"FFS",0.0001690849,0.00081160752,0.0617212067090956,0.296357023868884,7,1.2
