Code,0,1,2,3,4,5,6,7,8,9
POL,0,0,0,0.27391,0.61017,0.86064,0.9404,0.97862,0.98948,0.99366
COD,0,0,0,0.1,0.7,0.95,0.99,1,1,1
ATF,0,0,0,0.645799,0.962457,0.99735,1,1,1,1
HAL,0,0,0,0.336711,0.643377,0.793377,0.943377,1,1,1
FHS,0,0,0,0.1,0.884867,0.972708,0.994036,0.998705,0.99969,0.999945
REX,0,0.750868,0.986586,0.999521,1,1,1,1,1,1
FFS,0,0,0,0.272799,0.719776,0.927508,0.984502,0.995,0.997251,1
FFD,0,0.29066,0.69392,0.929294,0.987591,0.997946,0.999664,0.999956,1,1
SBF,0,0.314986,0.784167,0.969724,0.996649,0.999641,0.999961,0.999996,1,1
POP,0,0.410147,0.928873,0.997189,0.999901,0.999997,1,1,1,1
RFS,0,0.36824412,0.8060431,0.95219217,0.95849951,0.9585,0.9585,0.99298482,1,1
RFP,0,0.1,0.863101,0.988138,0.999138,0.999938,0.999998,1,1,1
